year,cpi_all,real_median_family_income,avg_hourly_earnings_nominal,median_home_price_nominal,shelter_cpi,rent_cpi,medical_cpi,education_childcare_cpi,fertility_rate,female_labor_force_participation,young_adults_living_with_parents_pct,median_age_first_marriage,median_age_first_marriage_men,median_age_first_marriage_women,avg_hourly_earnings_real_2024,median_home_price_real_2024,home_price_to_family_income,home_price_work_years,income_index,home_price_index,rent_index,medical_index,education_childcare_index,wage_index,rent_to_wage_index,medical_to_wage_index,education_childcare_to_wage_index
1960,29.584999999999997,48760.0,,,25.233333333333334,38.74166666666667,22.258333333333336,,3.654,37.75833333333333,22.502083277331256,21.55,22.8,20.3,,,,,100.0,,100.0,100.0,,,,,
1961,29.901666666666667,49270.0,,,25.458333333333332,39.233333333333334,22.90833333333333,,3.62,38.108333333333334,,21.55,22.8,20.3,,,,,101.0459392945037,,101.269090126909,102.92025458629726,,,,,
1962,30.253333333333334,50670.0,,,25.724999999999998,39.71666666666667,23.525000000000002,,3.461,37.90833333333333,,21.5,22.7,20.3,,,,,103.91714520098441,,102.51667025166702,105.69075252714339,,,,,
1963,30.633333333333336,52400.0,,18050.0,26.066666666666666,40.11666666666667,24.083333333333332,,3.319,38.291666666666664,,21.65,22.8,20.5,,184839.56175190423,3.5274725525172563,,107.46513535684987,100.0,103.54915035491503,108.19917633845,,,,,
1964,31.03833333333333,54550.0,2.5349999999999997,18925.0,26.491666666666664,40.53333333333333,24.59166666666667,,3.19,38.708333333333336,,21.8,23.1,20.5,25.62073304515921,191271.1530097192,3.506345609710709,3.5891746320740405,111.87448728465957,103.47955340126136,104.62465046246503,110.48296518157991,,100.0,100.0,100.0,
1965,31.528333333333332,56700.0,2.629166666666667,20125.0,26.983333333333334,40.93333333333333,25.183333333333334,,2.913,39.24166666666667,,21.700000000000003,22.8,20.6,26.159478665574177,200238.1647459957,3.5315372971075076,3.6800560770449833,116.28383921246923,108.33079393185308,105.65713056571305,113.14114563833768,,102.10277207707279,97.36988072399699,98.73817519216402,
1966,32.47083333333333,59710.0,2.734166666666667,21500.0,27.808333333333334,41.49166666666667,26.3,,2.721,40.25833333333333,,21.65,22.8,20.5,26.414569096197447,207709.80880277176,3.4786435907347473,3.7805078189107446,122.45693191140279,112.37302600920711,107.09830070983006,118.15799326095093,,103.09841271769633,94.90771978616917,99.15640310585441,
1967,33.375,60950.0,2.855,22750.0,28.75,42.24166666666667,28.150000000000002,,2.558,41.11666666666667,,21.85,23.1,20.6,26.83470459425718,213831.709113608,3.5083135211420506,3.830998248686515,125.0,115.68503359720019,109.03420090342009,126.46948708348933,,104.73823893702891,92.53383808415522,101.63944544311319,
1968,34.791666666666664,63790.0,3.0241666666666664,24800.0,30.116666666666664,43.25,29.866666666666664,,2.464,41.608333333333334,,21.950000000000003,23.1,20.8,27.26732088223553,223608.56143712575,3.5053858196759013,3.942599147889862,130.82444626743234,120.97440575911888,111.63691116369112,134.1819543242231,,106.42677878956093,89.4429332061899,101.80545119285054,
1969,36.68333333333333,66870.0,3.2175,25600.0,32.574999999999996,44.65,31.916666666666668,,2.456,42.699999999999996,,22.0,23.2,20.8,27.51450753066788,218918.8477964562,3.273797634162647,3.8252345944653636,137.1410992616899,118.43722508404015,115.25059152505915,143.39198801946836,,107.39157026526406,86.78977272727272,102.25604058203177,
1970,38.84166666666667,66700.0,3.404166666666667,23475.0,35.525,46.5,33.958333333333336,,2.48,43.35,26.724633974809798,22.0,23.2,20.8,27.493177662161198,189591.8763140957,2.8424569162533087,3.31536578476603,136.7924528301887,102.57104838225601,120.0258120025812,152.5645825533508,,107.30831789122352,85.42948366939379,102.83135356062525,
