year,real_disposable_personal_income_per_capita,personal_saving_rate,household_debt_service_ratio,student_loans_owned_securitized,food_at_home_cpi,gasoline_cpi,building_permits,rental_vacancy_rate,mortgage_30yr_rate,real_disposable_personal_income_per_capita_index,food_at_home_cpi_index,gasoline_cpi_index,building_permits_index
1960,13387.0,10.066666666666668,,,31.46666666666667,,1003.3333333333334,8.175,,100.0,100.0,,100.0
1961,13631.583333333334,11.283333333333333,,,31.766666666666666,,1067.0833333333333,8.7,,101.82702123951097,100.95338983050846,,106.35382059800665
1962,14076.916666666666,11.200000000000001,,,31.974999999999998,,1187.1666666666667,8.175,,105.15363163267845,101.61546610169489,,118.32225913621264
1963,14398.916666666666,10.733333333333334,,,32.375,,1328.25,8.2,,107.55895022534298,102.88665254237289,,132.38372093023256
1964,15209.5,11.591666666666667,,,32.76666666666667,,1284.75,8.225,,113.61395383581086,104.13135593220339,,128.0481727574751
1965,15953.416666666666,11.441666666666668,,,33.525,,1240.25,8.25,,119.17096187843927,106.54131355932202,,123.61295681063123
1966,16610.75,11.158333333333333,,,35.233333333333334,,974.8333333333334,7.7,,124.08119817733623,111.97033898305084,,97.15946843853821
1967,17151.25,12.325000000000001,,,35.13333333333333,26.40833333333333,1142.8333333333333,6.85,,128.11869724359454,111.65254237288136,100.0,113.90365448504983
1968,17752.916666666668,11.333333333333334,,,36.266666666666666,26.825,1348.75,5.9,,132.61310724334555,115.25423728813557,101.57778479015462,134.4269102990033
1969,18173.333333333332,10.9,,,38.041666666666664,27.666666666666668,1327.5,5.475,,135.75359179303302,120.89512711864406,104.76491006626698,132.3089700996678
1970,18795.083333333332,12.799999999999999,,,39.94166666666667,27.891666666666666,1346.9166666666667,5.325,,140.39802295759566,126.9332627118644,105.61691385295046,134.24418604651163
1971,19419.416666666668,13.475,,,40.88333333333333,28.099999999999998,1909.75,5.449999999999999,7.54175,145.0617514504121,129.92584745762713,106.40580624802777,190.34053156146177
1972,20136.416666666668,12.35,,,42.71666666666667,28.433333333333334,2229.9166666666665,5.55,7.383269230769231,150.41769378252533,135.7521186440678,107.66803408015149,222.25083056478402
1973,21183.583333333332,13.450000000000001,,,49.65833333333333,31.191666666666666,1823.5,5.775,8.044807692307693,158.23995916436343,157.81249999999997,118.11296939097508,181.7441860465116
1974,20758.083333333332,13.299999999999999,,,57.03333333333333,42.233333333333334,1070.3333333333333,6.175,9.187115384615385,155.06150245262816,181.24999999999997,159.92426633007258,106.67774086378736
1975,21062.416666666668,13.408333333333333,,,61.76666666666667,45.10833333333333,938.75,6.0,9.047115384615385,157.33485221981525,196.29237288135596,170.81098138213946,93.56312292358804
1976,21525.166666666668,11.625,,,63.074999999999996,47.0,1297.0833333333333,5.575,8.865849056603773,160.79156395508082,200.45021186440675,177.97412432944148,129.27740863787375
1977,21980.833333333332,10.658333333333333,,,66.81666666666666,49.74166666666667,1682.5,5.225,8.845192307692308,164.19536366126343,212.3411016949152,188.35594824865888,167.6910299003322
1978,22742.0,10.725,,,73.85000000000001,51.9,1799.5,5.025,9.641730769230769,169.8812280570703,234.6927966101695,196.52887346165983,179.35215946843851
1979,22931.583333333332,10.299999999999999,,,81.79166666666667,70.14166666666667,1530.6666666666667,5.425,11.203653846153847,171.2974029531137,259.93114406779665,265.60429157462926,152.55813953488374
1980,22839.25,11.108333333333334,,,88.375,97.46666666666665,1196.8333333333333,5.375,13.742115384615385,170.60767909165608,280.8527542372881,369.0754181129694,119.28571428571428
1981,23134.25,11.658333333333333,,,94.85833333333333,108.51666666666667,990.6666666666666,5.05,16.641509433962263,172.81130947934565,301.45656779661016,410.91827074787,98.73754152823919
1982,23419.583333333332,11.966666666666667,,,98.09166666666665,102.81666666666666,999.0,5.3,16.043653846153845,174.94273050969846,311.73199152542367,389.33417481855474,99.56810631229236
1983,24034.916666666668,10.083333333333334,,,99.14999999999999,99.39999999999999,1623.3333333333333,5.625,13.235384615384616,179.53922960085654,315.0953389830508,376.3963395392868,161.7940199335548
1984,25418.833333333332,11.208333333333334,,,102.77499999999999,97.78333333333335,1689.6666666666667,5.85,13.877692307692307,189.87699509474365,326.61546610169484,370.274534553487,168.40531561461793
1985,25971.666666666668,9.108333333333333,,,104.25833333333333,98.56666666666666,1732.3333333333333,6.5,12.430192307692307,194.00662334105226,331.32944915254234,373.24076995897764,172.6578073089701
1986,26716.416666666668,8.775,,,107.27499999999999,77.125,1771.0833333333333,7.35,10.187307692307693,199.5698563282787,340.91631355932196,292.0479646576207,176.51993355481724
1987,26961.583333333332,7.541666666666667,,,111.875,80.075,1541.3333333333333,7.7,10.213396226415094,201.40123502900823,355.5349576271186,303.2186809719155,153.62126245847173
